Month,Station,Number of operated trains,Number of trains arriving on time,Punctuality
2012-01,AALST,5663,5388,95.14391665195127
2012-01,ANTWERPEN-BERCHEM,17471,15825,90.57867322992388
2012-01,ANTWERPEN-CENTRAAL,19624,18090,92.18304117407257
2012-01,ARLON,3842,3422,89.06819364914107
2012-01,BINCHE,1110,1041,93.78378378378378
2012-01,BRAINE-L'ALLEUD,4139,3669,88.64460014496255
2012-01,BRUSSEL-NOORD,30540,26325,86.1984282907662
2012-01,CHARLEROI-SUD,10239,9434,92.1379040921965
2012-01,COUVIN,1225,1180,96.3265306122449
2012-01,DE PANNE,1080,1004,92.96296296296296
2012-01,DENDERLEEUW,8193,7629,93.11607469791285
2012-01,DENDERMONDE,6240,5701,91.36217948717949
2012-01,GEMBLOUX,4604,4079,88.59687228496959
2012-01,KORTRIJK,8351,7832,93.78517542809244
2012-01,LANDEN,3696,3265,88.33874458874459
2012-01,LIBRAMONT,3588,3157,87.98773690078038
2012-01,LIEDEKERKE,6463,5909,91.42812935169427
2012-01,LOKEREN,5064,4568,90.20537124802527
2012-01,MANAGE,1832,1729,94.37772925764192
2012-01,MECHELEN,12561,11204,89.19672000636892
2012-01,RIVAGE,1699,1440,84.75573866980577
2012-01,SCHELLEBELLE,4578,4164,90.956749672346
2012-01,SINT-NIKLAAS,5962,5304,88.96343508889635
2012-01,SPA-GERONSTERE,1031,1015,98.44810863239573
2012-01,TAMINES,3630,3301,90.9366391184573
2012-01,TOURCOING,692,664,95.95375722543352
2012-01,TURNHOUT,1698,1596,93.99293286219081
2012-01,VILVOORDE,9582,8467,88.36359841369233
2012-01,VIRTON,946,866,91.5433403805497
2012-01,WALCOURT,1359,1294,95.21707137601177
2012-01,ZEEBRUGGE-DORP,748,744,99.46524064171123
2012-02,AALST,4052,3742,92.34945705824285
2012-02,AARSCHOT,4114,3684,89.54788526981041
2012-02,ANS,4190,3395,81.02625298329356
2012-02,ANTWERPEN-CENTRAAL,10917,10444,95.66730786846203
2012-02,ARLON,2533,2143,84.60323726806158
2012-02,ATH,3069,2758,89.86640599543826
2012-02,ATHUS,789,753,95.43726235741445
2012-02,BERTRIX,1250,1125,90.0
2012-02,BRUSSEL-CENTRAAL,29416,24609,83.65855316834376
2012-02,BRUSSEL-LUXEMBURG,5688,4758,83.64978902953587
2012-02,BRUSSEL-ZUID,25681,22293,86.80736731435692
2012-02,BURST,2504,2118,84.58466453674122
2012-02,DE PANNE,459,459,100.0
2012-02,DENDERLEEUW,7818,6819,87.22179585571757
2012-02,DIEST,2944,2572,87.36413043478261
2012-02,DINANT,909,888,97.6897689768977
2012-02,EEKLO,442,442,100.0
2012-02,ETTERBEEK,6243,5297,84.84702867211277
2012-02,FLEMALLE-HAUTE,2797,2276,81.3728995352163
2012-02,GENT-SINT-PIETERS,11263,10151,90.12696439669715
2012-02,GLONS,955,817,85.54973821989529
2012-02,JEMELLE,2472,2038,82.44336569579288
2012-02,JETTE,5320,4360,81.95488721804512
2012-02,LANDEN,2955,2504,84.73773265651438
2012-02,LEUVEN,10478,9173,87.54533307883183
2012-02,LIBRAMONT,2542,2097,82.49409913453974
2012-02,LIEGE-GUILLEMINS,9579,8384,87.52479381981418
2012-02,LIERS,3038,2595,85.41803818301514
2012-02,MANAGE,1813,1738,95.86321014892444
2012-02,MONS,5237,4678,89.32594997135764
2012-02,NAMUR,6615,5729,86.60619803476946
2012-02,NEERPELT,546,546,100.0
2012-02,OUDENAARDE,3040,2720,89.47368421052632
2012-02,PUURS,1595,1417,88.84012539184954
2012-02,RIVAGE,1614,1344,83.27137546468401
2012-02,SAINT-GHISLAIN,3096,2730,88.17829457364341
2012-02,SINT-TRUIDEN,1189,1020,85.78637510513036
2012-02,TAMINES,1406,1232,87.62446657183499
2012-02,TOURNAI,3353,3039,90.63525201312258
2012-02,VIRTON,649,588,90.60092449922959
2012-02,WALCOURT,1258,1162,92.36883942766295
2012-02,WELKENRAEDT,2250,2004,89.06666666666668
2012-02,ZEEBRUGGE-STRAND,55,55,100.0
2012-02,ZOTTEGEM,3506,3192,91.0439247005134
2012-03,AALST,4223,4011,94.97987212881837
2012-03,ARLON,2615,2296,87.80114722753346
2012-03,ATH,3263,3039,93.13515170088876
2012-03,ATHUS,838,820,97.85202863961814
2012-03,BERTRIX,1331,1229,92.3365890308039
2012-01,ANS,4273,3746,87.66674467587175
2012-03,BRUGGE,5413,4933,91.13245889525217
2012-01,ATHUS,1726,1590,92.12050984936269
2012-03,BRUSSEL-ZUID,26419,23893,90.43869942087134
2012-01,AARSCHOT,4316,4023,93.21130676552364
2012-01,BERTRIX,1576,1457,92.44923857868021
2012-03,BURST,2651,2311,87.17465107506601
2012-01,ATH,4251,3955,93.03693248647377
2012-01,BILZEN,2143,1954,91.18058796080261
2012-03,DENDERMONDE,3900,3690,94.61538461538461
2012-01,BRUGGE,9397,8722,92.81685644354582
2012-01,BLANKENBERGE,1216,1154,94.90131578947368
2012-03,ERQUELINNES,708,708,100.0
2012-01,BRUSSEL-ZUID,33864,29818,88.05220883534136
2012-01,BRAINE-LE-COMTE,5809,5134,88.38009984506799
2012-03,GENT-SINT-PIETERS,10489,9542,90.9714939460387
2012-01,DINANT,1819,1662,91.36888400219901
2012-01,BRUSSEL-CENTRAAL,30290,26452,87.32915153516012
2012-03,GLONS,1023,930,90.9090909090909
2012-01,ERQUELINNES,1302,1277,98.07987711213516
2012-01,BRUSSEL-LUXEMBURG,6418,5520,86.00810221252728
2012-03,HASSELT,4316,4016,93.04911955514366
2012-01,GENK,1401,1304,93.07637401855817
2012-01,BRUSSEL-NATIONAAL-LUCHTHAVEN,4503,4115,91.38352209638019
2012-03,JEMEPPE-SUR-SAMBRE,2989,2691,90.03011040481766
2012-01,GENT-SINT-PIETERS,14072,12894,91.62876634451392
2012-01,BURST,2585,2356,91.14119922630562
2012-03,LA LOUVIERE-SUD,4579,4172,91.11159641843197
2012-01,GERAARDSBERGEN,5209,4896,93.99116913035131
2012-01,DEINZE,3657,3322,90.83948591741866
2012-03,LEUVEN,10523,9569,90.93414425544046
2012-01,HALLE,11928,10356,86.82092555331991
2012-01,DIEST,2991,2724,91.07321965897694
2012-03,LIEDEKERKE,6806,5972,87.74610637672642
2012-01,HASSELT,5757,5313,92.28764981761334
2012-01,EDINGEN,3431,2993,87.2340425531915
2012-03,LIER,6413,6121,95.44674879151724
2012-01,HUY,3712,3156,85.02155172413794
2012-01,EEKLO,900,885,98.33333333333333
2012-03,MOESKROEN,2359,2246,95.20983467571004
2012-01,JEMELLE,3176,2689,84.66624685138538
2012-01,ESSEN,2817,2540,90.16684416045439
2012-03,MONCEAU-FORMATION,1,1,100.0
2012-01,JETTE,5335,4779,89.57825679475164
2012-01,ETTERBEEK,6373,5591,87.72948375961086
2012-03,OOSTENDE,1144,1143,99.91258741258741
2012-01,LA LOUVIERE-CENTRE,2118,2010,94.90084985835693
2012-01,FLEMALLE-HAUTE,2886,2431,84.23423423423422
2012-03,PUURS,1685,1497,88.8427299703264
2012-01,LA LOUVIERE-SUD,4911,4557,92.79169211973122
2012-01,GLONS,993,888,89.42598187311178
2012-03,SINT-NIKLAAS,4699,4402,93.67950627793148
2012-01,LEUVEN,15245,13796,90.49524434240735
2012-01,GOUVY,882,798,90.47619047619048
2012-03,VILVOORDE,9920,9173,92.46975806451613
2012-01,LIEGE-GUILLEMINS,12496,11098,88.81241997439182
2012-01,JEMEPPE-SUR-SAMBRE,2972,2704,90.98250336473755
2012-03,VISE,1275,1176,92.23529411764706
2012-01,LIERS,3503,3011,85.95489580359693
2012-01,KNOKKE,1168,1117,95.63356164383562
2012-03,Y.ANTOING,2624,2128,81.09756097560977
2012-01,LUTTRE,4049,3616,89.30600148184737
2012-01,LICHTERVELDE,3286,2997,91.20511259890445
2012-03,ZEEBRUGGE-STRAND,28,28,100.0
2012-01,MARLOIE,3138,2691,85.75525812619503
2012-01,LIER,6315,5999,94.99604117181313
2012-03,ZOTTEGEM,3711,3431,92.45486391808137
2012-01,MONS,6919,6289,90.89463795346148
2012-01,MOESKROEN,3043,2806,92.21163325665461
2012-04,AARSCHOT,4099,3839,93.6569895096365
2012-01,NAMUR,8874,7905,89.08045977011494
2012-01,MOL,2658,2538,95.48532731376976
2012-04,ANTWERPEN-BERCHEM,16873,15391,91.21673679843538
2012-01,OOSTENDE,3309,2982,90.11786038077969
2012-01,MONCEAU-FORMATION,1,0,0.0
2012-04,BERTRIX,1289,1198,92.94026377036462
2012-01,POPERINGE,1217,1135,93.26211996713229
2012-01,NEERPELT,1074,1045,97.2998137802607
2012-04,COUVIN,629,629,100.0
2012-01,QUIEVRAIN,1103,1017,92.20308250226654
2012-01,OTTIGNIES,8580,7752,90.34965034965035
2012-04,EDINGEN,3142,2780,88.47867600254615
2012-01,RONSE,1049,1032,98.37940896091516
2012-01,OUDENAARDE,3255,3037,93.3026113671275
2012-04,ERQUELINNES,660,660,100.0
2012-01,SINT-TRUIDEN,1226,1098,89.55954323001632
2012-01,PUURS,1956,1787,91.359918200409
2012-04,ESSEN,2347,2176,92.71410311035365
2012-01,VERVIERS-CENTRAL,3767,3400,90.25749933634192
2012-01,SAINT-GHISLAIN,3323,3003,90.37014745711707
2012-04,GENK,661,661,100.0
2012-01,WAREMME,2346,2090,89.08780903665814
2012-01,TOURNAI,5092,4725,92.79261586802828
2012-04,GENT-SINT-PIETERS,10105,9349,92.51855517070757
2012-01,WELKENRAEDT,3108,2858,91.95624195624195
2012-01,VISE,1472,1345,91.37228260869566
2012-04,GERAARDSBERGEN,2535,2534,99.96055226824457
2012-01,ZOTTEGEM,4317,4072,94.32476256659717
2012-01,Y.ANTOING,2518,2047,81.2946783161239
2012-04,HASSELT,4142,3908,94.35055528730082
2012-02,BRAINE-L'ALLEUD,1754,1393,79.41847206385405
2012-01,ZEEBRUGGE-STRAND,126,125,99.20634920634922
2012-04,KORTRIJK,3901,3769,96.61625224301461
2012-02,BRUSSEL-NOORD,29032,23947,82.48484430972721
2012-02,ANTWERPEN-BERCHEM,17150,15259,88.9737609329446
2012-04,LA LOUVIERE-CENTRE,2078,1973,94.94706448508181
2012-02,COUVIN,622,622,100.0
2012-02,BILZEN,2063,1813,87.88172564226853
2012-04,LANDEN,2815,2567,91.19005328596803
2012-02,DEINZE,3570,3178,89.01960784313725
2012-02,BINCHE,548,548,100.0
2012-04,LEUVEN,9950,9244,92.90452261306532
2012-02,DENDERMONDE,4182,3921,93.75896700143473
2012-02,BLANKENBERGE,571,571,100.0
2012-04,LIEDEKERKE,6368,5771,90.625
2012-02,EDINGEN,3332,2820,84.63385354141657
2012-02,BRAINE-LE-COMTE,4422,3899,88.17277250113071
2012-04,LIEGE-GUILLEMINS,8940,8156,91.23042505592841
2012-02,ESSEN,2275,2012,88.43956043956044
2012-02,BRUGGE,6817,6243,91.57987384479976
2012-04,LUTTRE,3637,3309,90.98157822381083
2012-02,GEMBLOUX,3522,2947,83.6740488358887
2012-02,BRUSSEL-NATIONAAL-LUCHTHAVEN,2987,2771,92.76866421158353
2012-04,MANAGE,1772,1706,96.27539503386005
2012-02,GENK,691,691,100.0
2012-02,CHARLEROI-SUD,6587,6084,92.36374677394869
2012-04,MONS,5230,4766,91.12810707456978
2012-02,GERAARDSBERGEN,2687,2685,99.92556754745068
2012-02,ERQUELINNES,666,666,100.0
2012-04,POPERINGE,595,595,100.0
2012-02,HALLE,11012,9171,83.2818743189248
2012-02,GOUVY,640,575,89.84375
2012-04,RONSE,482,482,100.0
2012-02,HASSELT,4212,3819,90.66951566951566
2012-02,HUY,1809,1568,86.67772249861802
2012-04,SINT-NIKLAAS,4309,4070,94.45346948247854
2012-02,JEMEPPE-SUR-SAMBRE,2818,2458,87.2249822569198
2012-02,LA LOUVIERE-CENTRE,2056,1940,94.3579766536965
2012-04,VISE,1186,1123,94.68802698145026
2012-02,KORTRIJK,4601,4410,95.84872853727451
2012-02,LICHTERVELDE,3203,2874,89.72837964408367
2012-04,WALCOURT,1257,1230,97.85202863961814
2012-02,LA LOUVIERE-SUD,4310,3887,90.18561484918793
2012-02,LOKEREN,4245,3739,88.08009422850412
2012-04,Y.ANTOING,2644,2106,79.65204236006052
2012-02,LIEDEKERKE,6381,5455,85.48816799874628
2012-02,MECHELEN,10898,9552,87.64910992842724
2012-04,ZEEBRUGGE-DORP,250,250,100.0
2012-02,LIER,6005,5524,91.99000832639467
2012-02,MONCEAU-FORMATION,1,1,100.0
2012-05,ANS,3693,3239,87.7064717032223
2012-02,LUTTRE,3682,3245,88.13145029875068
2012-02,QUIEVRAIN,551,551,100.0
2012-05,ANTWERPEN-CENTRAAL,10724,10348,96.49384558000746
2012-02,MARLOIE,3040,2469,81.21710526315789
2012-02,SCHELLEBELLE,4513,3938,87.2590294704188
2012-05,BILZEN,2125,1875,88.23529411764706
2012-02,MOESKROEN,2248,2118,94.21708185053382
2012-02,SPA-GERONSTERE,521,521,100.0
2012-05,BRAINE-LE-COMTE,4531,4110,90.7084528801589
2012-02,MOL,1818,1744,95.92959295929593
2012-02,WAREMME,1916,1603,83.66388308977035
2012-05,BRUSSEL-LUXEMBURG,5908,4783,80.9580230196344
2012-02,OOSTENDE,1693,1692,99.94093325457767
2012-03,ANTWERPEN-BERCHEM,17874,16615,92.95624930066018
2012-05,BRUSSEL-NATIONAAL-LUCHTHAVEN,3354,3134,93.44066785927251
2012-02,OTTIGNIES,6839,5915,86.48925281473899
2012-03,ANTWERPEN-CENTRAAL,11102,10800,97.27976941091696
2012-05,CHARLEROI-SUD,6648,6139,92.34356197352587
2012-02,POPERINGE,602,602,100.0
2012-03,BINCHE,585,585,100.0
2012-05,DENDERLEEUW,7832,7157,91.38151174668029
2012-02,RONSE,526,526,100.0
2012-03,BLANKENBERGE,375,375,100.0
2012-05,ETTERBEEK,6445,5421,84.11171450737005
2012-02,SINT-NIKLAAS,4775,4342,90.93193717277487
2012-03,BRAINE-L'ALLEUD,1851,1556,84.06266882766073
2012-05,FLEMALLE-HAUTE,2772,2276,82.1067821067821
2012-02,TURNHOUT,992,969,97.68145161290323
2012-03,BRAINE-LE-COMTE,4682,4283,91.47800085433575
2012-05,GENT-SINT-PIETERS,10181,9286,91.2091150181711
2012-02,VERVIERS-CENTRAL,3309,2809,84.88969477183439
2012-03,BRUSSEL-NATIONAAL-LUCHTHAVEN,3199,2993,93.56048765239137
2012-05,GERAARDSBERGEN,2562,2561,99.96096799375488
2012-02,VILVOORDE,9306,8104,87.08360197721899
2012-03,CHARLEROI-SUD,6940,6462,93.11239193083574
2012-05,HASSELT,4204,3882,92.3406279733587
2012-02,VISE,1311,1205,91.91456903127384
2012-03,DE PANNE,556,556,100.0
2012-05,HUY,1773,1592,89.79131415679639
2012-02,Y.ANTOING,2450,1736,70.85714285714285
2012-03,DEINZE,3357,3005,89.51444742329461
2012-05,LEUVEN,10107,9200,91.02602156920946
2012-02,ZEEBRUGGE-DORP,376,376,100.0
2012-03,EEKLO,251,251,100.0
2012-05,LIBRAMONT,2596,2179,83.93682588597842
2012-03,AARSCHOT,4354,4051,93.04088194763436
2012-03,ETTERBEEK,6684,5899,88.25553560742071
2012-05,LICHTERVELDE,2514,2317,92.16388225934764
2012-03,ANS,3735,3216,86.10441767068274
2012-03,FLEMALLE-HAUTE,2863,2422,84.59657701711491
2012-05,LIEGE-GUILLEMINS,9054,8023,88.61276783741992
2012-03,BILZEN,2070,1894,91.4975845410628
2012-03,GEMBLOUX,3793,3345,88.18876878460323
2012-05,LIERS,3018,2625,86.97813121272365
2012-03,BRUSSEL-CENTRAAL,30514,27068,88.70682309759455
2012-03,HALLE,11401,10018,87.86948513288309
2012-05,MANAGE,1780,1717,96.46067415730337
2012-03,BRUSSEL-LUXEMBURG,6098,5229,85.74942604132502
2012-03,JETTE,5711,4915,86.061985641744
2012-05,MARLOIE,3108,2532,81.46718146718148
2012-03,BRUSSEL-NOORD,30112,26289,87.30406482465463
2012-03,LA LOUVIERE-CENTRE,2182,2095,96.012832263978
2012-05,MOL,1864,1767,94.7961373390558
2012-03,COUVIN,670,670,100.0
2012-03,LIERS,3052,2664,87.2870249017038
2012-05,OOSTENDE,1182,1182,100.0
2012-03,DENDERLEEUW,8268,7447,90.07014997581035
2012-03,LOKEREN,4071,3727,91.5499877180054
2012-05,OTTIGNIES,7228,6206,85.86054233536248
2012-03,DIEST,3092,2794,90.36222509702458
2012-03,LUTTRE,3886,3572,91.9197117858981
2012-05,QUIEVRAIN,577,577,100.0
2012-03,DINANT,977,958,98.05527123848515
2012-03,MANAGE,1908,1867,97.85115303983228
2012-05,RIVAGE,1514,1283,84.74240422721269
2012-03,EDINGEN,3322,2950,88.80192655027092
2012-03,MECHELEN,11425,10499,91.89496717724289
2012-05,SCHELLEBELLE,4236,3784,89.32955618508026
2012-03,ESSEN,2458,2321,94.42636289666395
2012-03,NAMUR,7065,6297,89.12951167728238
2012-05,TURNHOUT,992,964,97.17741935483872
2012-03,GENK,671,671,100.0
2012-03,OTTIGNIES,7359,6593,89.59097703492323
2012-05,VERVIERS-CENTRAL,3077,2697,87.65030874228145
2012-03,GERAARDSBERGEN,2639,2638,99.96210685865859
2012-03,OUDENAARDE,3155,2889,91.5689381933439
2012-05,ZEEBRUGGE-DORP,264,264,100.0
2012-03,GOUVY,467,436,93.36188436830835
2012-03,SCHELLEBELLE,4460,4035,90.47085201793722
2012-06,ATH,3826,3274,85.57239937271302
2012-03,HUY,1875,1725,92.0
2012-03,SINT-TRUIDEN,1203,1059,88.02992518703242
2012-06,ATHUS,984,925,94.0040650406504
2012-03,JEMELLE,2613,2209,84.53884424033677
2012-03,TAMINES,1492,1327,88.94101876675603
2012-06,BERTRIX,2285,1749,76.54266958424508
2012-03,KORTRIJK,3994,3818,95.5933900851277
2012-03,TURNHOUT,1045,1027,98.27751196172248
2012-06,BILZEN,4581,2937,64.11263916175508
2012-03,LANDEN,2938,2635,89.68686181075562
2012-03,VERVIERS-CENTRAL,3059,2722,88.98332788492972
2012-06,BRAINE-L'ALLEUD,1845,1409,76.36856368563686
2012-03,LIBRAMONT,2621,2242,85.53987027851964
2012-04,ANS,3602,3258,90.44975013881177
2012-06,BRUGGE,6983,5785,82.84404983531434
2012-03,LICHTERVELDE,2491,2285,91.73022882376556
2012-04,ARLON,2424,2159,89.06765676567657
2012-06,BRUSSEL-CENTRAAL,29949,25092,83.78243013122308
2012-03,LIEGE-GUILLEMINS,9274,8341,89.93961613111927
2012-04,BLANKENBERGE,430,430,100.0
2012-06,BRUSSEL-NOORD,29526,24376,82.55774571564045
2012-03,MARLOIE,3230,2719,84.17956656346749
2012-04,BRAINE-LE-COMTE,4427,3993,90.19652134628416
2012-06,COUVIN,643,643,100.0
2012-03,MOL,1938,1883,97.16202270381838
2012-04,BRUSSEL-NATIONAAL-LUCHTHAVEN,3147,2961,94.08960915157293
2012-06,DE PANNE,583,583,100.0
2012-03,MONS,5508,5014,91.0312273057371
2012-04,BRUSSEL-NOORD,28439,24781,87.13738176447836
2012-06,DENDERLEEUW,8301,7417,89.35068064088664
2012-03,NEERPELT,584,584,100.0
2012-04,BRUSSEL-ZUID,25631,23083,90.05891303499668
2012-06,DINANT,2045,1669,81.61369193154034
2012-03,POPERINGE,607,607,100.0
2012-04,BURST,2453,2172,88.54463921728495
2012-06,EDINGEN,3219,2770,86.05156881018951
2012-03,QUIEVRAIN,588,588,100.0
2012-04,CHARLEROI-SUD,6573,6135,93.33637608397993
2012-06,ERQUELINNES,893,795,89.02575587905936
2012-03,RIVAGE,1515,1309,86.4026402640264
2012-04,DE PANNE,529,529,100.0
2012-06,ESSEN,3024,2613,86.40873015873017
2012-03,RONSE,521,521,100.0
2012-04,DENDERMONDE,3755,3498,93.15579227696405
2012-06,ETTERBEEK,6403,5179,80.88396064344838
2012-03,SAINT-GHISLAIN,3156,2880,91.25475285171103
2012-04,DIEST,2898,2656,91.64941338854382
2012-06,FLEMALLE-HAUTE,3559,2800,78.67378477100308
2012-03,SPA-GERONSTERE,543,543,100.0
2012-04,DINANT,936,922,98.50427350427351
2012-06,GENK,678,678,100.0
2012-03,TOURNAI,3367,3158,93.7926937926938
2012-04,FLEMALLE-HAUTE,2752,2314,84.08430232558139
2012-06,GERAARDSBERGEN,2887,2779,96.25909248354694
2012-03,VIRTON,684,637,93.12865497076024
2012-04,GEMBLOUX,3604,3200,88.79023307436182
2012-06,GLONS,1029,907,88.14382896015549
2012-03,WALCOURT,1339,1296,96.78864824495892
2012-04,GLONS,996,916,91.96787148594377
2012-06,GOUVY,499,451,90.38076152304609
2012-03,WAREMME,1861,1683,90.43524986566362
2012-04,GOUVY,439,407,92.71070615034168
2012-06,KORTRIJK,4609,4205,91.23454111520938
2012-03,WELKENRAEDT,1928,1693,87.81120331950207
2012-04,JEMEPPE-SUR-SAMBRE,2855,2569,89.98248686514886
2012-06,LANDEN,2990,2559,85.58528428093646
2012-03,ZEEBRUGGE-DORP,238,238,100.0
2012-04,JETTE,4946,4370,88.35422563687828
2012-06,LICHTERVELDE,2626,2270,86.44325971058645
2012-04,AALST,3781,3608,95.42449087542978
